Name,auction_value
Josnier Parra,-3621632852426576.0
Michael Fulmer,-3608701556716558.5
Landon Knack,-3597300472459108.0
Julian Merryweather,-3570069749249832.0
Dane Dunning,-3567752075659276.0
JT Brubaker,-3560935284412155.0
Angel Tello,-3533675349005462.5
Gabe Starks,-3497409698363554.5
Alex Lange,-3473408173871326.5
Carlos Martinez,-3409712654287814.0
Zack Austin,-3407764211141135.0
Henry Tejada,-3403450991382819.5
Anderson Guevara,-3383709184096975.0
Marlin Willis,-3382791425327653.5
Jacob Waguespack,-3346617862155607.5
Omar Gonzalez,-3339033358961741.0
Angel Camacho,-3331271573841635.5
Craig Yoho,-3328256783077496.5
Greg Weissert,-3325351797591735.0
Yokelvin Reyes,-3305080457355256.0
Jake Fitzgibbons,-3302133753057909.0
Wanmer Ramirez,-3297755114849744.0
Mason Montgomery,-3290879116889740.0
Ryan Brasier,-3286610590746169.0
Jorge Geraldo,-3273005973938267.0
Gabriel Agrazal,-3272277138514684.0
Joangel Gonzalez,-3268619900452141.5
Darlin Pinales,-3264768299276311.5
Dylan Lee,-3260228913975430.5
José Suarez,-3259058648568124.0
Juan Manuel Abril,-3239708267946020.5
Victor Pena,-3238996580108107.5
Christian Ruebeck,-3232447479580244.5
Caleb Thielbar,-3229075899229695.0
Hayder Ortiz,-3223529677242610.5
Adilson Peralta,-3210549197885285.0
Geralmi Santana,-3201060364240332.0
Stijn Van Der Schaaf,-3198087275726501.0
Connor Phillips,-3197570008660334.0
Mado Villegas,-3197025466802307.5
Manuel Rodríguez,-3187812021548030.5
Trevor Rogers,-3160600717969149.5
Francisco Pazos,-3158445794476024.0
Will Klein,-3153423625152649.5
Rayner Urbaez,-3143319324058393.5
Luis Victorino,-3128197603882147.5
Doug Kirkland,-3122192447719530.5
Jesus Lopez,-3117124273525803.5
Griff McGarry,-3116736133995050.5
Edward Cedano,-3108228509972808.0
Marcos  Fortunato,-3106822636843774.5
Jake Brentz,-3088662193925085.0
Johan Minaya,-3088522593255314.5
Ron Marinaccio,-3087760070586608.5
Callum Wallace,-3073811545414967.0
Jermayne Verdu,-3069811174317250.0
Wilmis Paulino,-3067828083977696.0
Ryan Burr,-3061236386175407.5
Lester Nin,-3056721714763634.0
Sandro Santana,-3041458553373233.0
Randy Rodríguez,-3005968117628424.5
Adrian Ogando,-2996332703388675.0
Ethan Roberts,-2979782243152876.0
Leonardo Rossel,-2978914976832207.0
Doimil Perez,-2972787218260386.0
Shawn Armstrong,-2970373817630223.0
Yeri Perez,-2960351876320224.0
Forrest Whitley,-2955961786422613.0
Domingo Gonzalez,-2954650431993371.5
Reilin Ramirez,-2893840907760875.0
Julio Ortiz,-2893770206079058.5
Daniel Robert,-2879249993611433.0
Keywill Cedeno,-2871214286297944.5
Brayan Cabello,-2847064406468588.5
Jordy Arias,-2818918812753802.5
Sergio Sanchez,-2816303412958068.5
Eudry Alcantara,-2809709112609367.5
Dedniel Núñez,-2794626646495094.5
Tyson Miller,-2791555183400593.5
Marco Patino,-2776713241369840.0
Kelvin Caceres,-2768753505001194.5
Emmanuel Martinez,-2765053271247318.5
Pedro Peralta,-2761286272832252.5
Joel Ibarra,-2758782651413497.5
Luigi Hernandez,-2743562707709397.5
Weskendry Espinoza,-2737209662677294.5
Joaquin Tejada,-2732047944600766.5
Adrian Acosta,-2713589531487060.0
Shawn Dubin,-2711521262524135.5
Justin Militello,-2684326126830590.0
Declan Cronin,-2677654501555239.0
Brennan Bernardino,-2671508067290597.5
Danny Young,-2649417373180769.0
Nelvis Ochoa,-2645978027938403.5
Dauri Moreta,-2633445577222388.0
Rafelin Nivar,-2631000922544020.5
Juan Reynoso,-2621765384226129.5
David  Landeta,-2612347348889198.5
Steve Hajjar,-2611525745002321.0
Hunter Furtado,-2602563604597154.0
Ovis Portes,-2588907563506483.5
Dylan Lesko,-2585178434331555.5
Jake Bird,-2553016427574781.0
Cristobal Abreu,-2550096034299221.5
Danny Wilkinson,-2547170303403121.0
José Ruiz,-2545760299597185.0
Kenta Maeda,-2545714232441070.0
Cam Booser,-2529888762219021.5
Josue Arias,-2526644723239729.0
Jank Pichardo,-2513408620927062.5
Mathew Peters,-2511865142022384.5
Erick Reynoso,-2476575553452737.5
Johan Rodriguez,-2474170896252058.5
Sam Long,-2471645361442246.0
Aneudis George,-2467811124755797.0
Juan Sanchez,-2440142030887857.5
Marc Church,-2433400323798554.5
Orlando Ribalta,-2426487986995940.0
Rudit Pina,-2424031540074309.0
Victor Cabreja,-2420874113259849.0
Carlos Hernández,-2416626932700541.5
Juan Severino,-2389605164674295.0
Khristian Guevara,-2366096085014006.5
Bryan King,-2364177800833704.5
Chris Stratton,-2363002762552571.0
Reimy Beltre,-2345936407962746.0
Luis A. Reyes,-2323653185392200.5
Daniel Palencia,-2319852999030093.5
