Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dylan Jasso","MIA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.224304,0.0584297,0.274921,0.212533,0.27868,0.349629,0.275953,0.628309,0.125325,3.47017,0.294571,,-0.0015685,0.0880343,-0.0301234,73.2807,-0.0015685,0.000712953,-0.03323635819833726,0.0007129529840312898,0.0000764111,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Dylan Jasso","sa3022830",815734
"Dixon Williams","ATL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.205087,0.0836743,0.325286,0.257233,0.282005,0.325109,0.2709,0.607114,0.120022,5.21394,0.294269,,0.0000267044,0.0839317,-0.034226,70.6894,0.0000267044,0.00213886,-0.034712480679445434,0.002138857962563634,0.000071273,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Dixon Williams","sa3045282",703483
"Slate Alford","LAA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.203343,0.0926709,0.301372,0.307497,0.289007,0.319461,0.273449,0.608468,0.116119,3.46464,0.280002,,-0.00112321,0.0860016,-0.0321561,71.7347,-0.00112321,0.000712953,-0.03443715849425644,0.0007129529840312898,0.0000710222,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Slate Alford","sa3025895",695477
"Matt Suggs","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.196499,0.0753662,0.314659,0.239517,0.266877,0.306455,0.256393,0.573333,0.109957,3.44299,0.275127,,-0.000910031,0.0721537,-0.046004,61.2429,-0.000910031,0.014259,-0.04684525524498895,0.01425904966890812,0.0000699856,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Matt Suggs","sa3020351",702110
"Ricardo Paez","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.20537,0.082872,0.302151,0.274273,0.284603,0.312326,0.268274,0.596929,0.106956,5.20969,0.28663,,0.00112401,0.0817997,-0.036358,68.5898,0.00112401,0.00213886,-0.03589661559090018,0.002138857962563634,0.0000675893,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ricardo Paez","sa3023961",821671
"DJ Stewart",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.204496,0.107379,0.276699,0.38807,0.302891,0.345268,0.290231,0.648158,0.140772,2.78768,0.260147,,-0.00121755,0.0996265,-0.0185312,82.5191,-0.00121755,-0.0106943,-0.021936091245152056,-0.010694287717342377,0.0000654662,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"DJ Stewart","17766",621466
"Gilberto Celestino","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.227009,0.091581,0.236487,0.387256,0.302387,0.324802,0.28098,0.62719,0.0977933,4.27101,0.289527,,0.000138815,0.0921162,-0.0260415,81.3669,0.000138815,-0.0106943,-0.021945307758869603,-0.010694287717342377,0.0000645232,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Gilberto Celestino","20233",665482
"Nick Lorusso","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.209996,0.0777623,0.27336,0.284468,0.276047,0.330745,0.26893,0.606792,0.120749,3.3685,0.273346,,-0.00153525,0.0823322,-0.0358255,73.1118,-0.00153525,0.000712953,-0.033403355279006064,0.0007129529840312898,0.000059325,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Nick Lorusso","sa3022810",700681
"Sebastián Rivero","LAA",2,6,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.214009,0.0439804,0.241474,0.182133,0.255705,0.32772,0.255768,0.583425,0.113711,3.24906,0.264501,-0.0039534,-0.00877653,0.458535,-0.297675,59.5546,-0.0127299,-0.0268894,-0.317815194837749,0.09811059013009071,0.0000586258,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Sebastian Rivero","21735",665861
"Jacob Gonzalez","CHW",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.219143,0.0660708,0.190715,0.346437,0.277064,0.325359,0.267013,0.602423,0.106216,3.79152,0.256452,,-0.000330795,0.0807756,-0.0373822,68.2216,-0.000330795,0.00393692,-0.0377853891113773,0.003936924040317535,0.000058309,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jacob Gonzalez","sa3022498",694378
"John Bay","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.205578,0.0887819,0.316884,0.280172,0.293044,0.33594,0.281355,0.628983,0.130361,5.0294,0.287344,,-0.000259094,0.0924202,-0.0257375,81.6234,-0.000259094,-0.0106943,-0.02203919706516899,-0.010694287717342377,0.0000549171,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"John Bay","sa3069004",700083
"Eddie Rosario",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.226515,0.0676743,0.247284,0.273671,0.279576,0.374523,0.285007,0.654099,0.148008,4.76588,0.275064,,-0.000178931,0.0953851,-0.0227726,81.5786,-0.000178931,-0.0107217,-0.022012160945450887,-0.010721664875745773,0.0000548823,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Eddie Rosario","12155",592696
