Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Nathan Eovaldi,TEX,11.0509,9.5761,16.6019,3.74428,29.16,29.16,0.0,0.0,175.964,733.796,166.845,79.6244,73.2066,21.5654,46.7531,,6.8052,170.778,8.73473,2.39127,3.65276,1.103,0.232732,0.063714,0.16901795566082,0.245274,1.21387,0.297768,0.730474,0.455452,,3.73176,2.90604,2.80869,194.4199981689453,,,,9132,1.4433229829354157,-3.961028204325082e+16
Zac Gallen,ARI,10.8331,9.4915,15.0854,3.95084,29.16,29.16,0.0,0.0,170.712,725.815,165.306,81.1497,74.9394,19.8215,52.7493,,6.7523,171.799,9.05732,2.78097,3.25689,1.045,0.236698,0.072676,0.1640219762921333,0.24809,1.27733,0.306481,0.7194,0.435481,,3.70884,2.60353,2.74472,120.5,,,,19291,1.4420021656740905,-3.957403378498344e+16
Hunter Brown,HOU,10.9014,9.2296,15.3974,3.69238,29.16,29.16,0.0,0.0,167.533,702.738,152.221,75.1161,68.7327,18.3169,57.7693,,6.4891,175.108,9.40696,3.10341,3.03117,0.984,0.24918,0.082206,0.1669740527868271,0.238412,1.25343,0.300872,0.731634,0.489321,,3.64805,3.02188,2.80358,102.41999816894533,,,,25880,1.434635390129039,-3.937186139492328e+16
Chris Bassitt,TOR,10.4676,10.9653,15.2336,4.09626,30.78,30.78,0.0,0.0,178.982,764.556,171.783,87.9983,81.4621,22.5319,60.0054,,10.966,164.819,8.2878,3.01733,2.74674,1.133,0.215575,0.078484,0.1370909363031387,0.247674,1.29504,0.294827,0.718076,0.423635,,4.15088,2.13837,1.96312,357.25,,,,12304,1.4295527740596692,-3.923237504404716e+16
Luis Severino,ATH,10.3058,11.3609,16.0,4.05083,30.78,30.78,0.0,0.0,182.749,775.673,175.882,89.043,82.2537,22.9654,60.9314,,8.8822,158.414,7.80158,3.00075,2.59988,1.131,0.204228,0.0785529,0.1256749927997589,0.249174,1.29584,0.291558,0.722022,0.431987,,4.21252,1.97473,2.12454,305.0400085449219,,,,15890,1.4236484877742626,-3.9070338931691064e+16
Bailey Ober,MIN,10.2627,10.1121,14.9916,3.99669,29.16,29.16,0.0,0.0,171.04,715.949,159.903,81.0105,75.955,26.4922,42.2675,,6.8624,175.997,9.26081,2.22408,4.16388,1.394,0.245823,0.059037,0.1867859363555908,0.239799,1.182,0.287318,0.733941,0.328803,,3.9838,2.48796,2.36489,80.04000091552734,,,,21224,1.4156645080043466,-3.885122810601101e+16
Michael Kopech,LAD,3.4575,3.0078,0.0,4.034,66.0,0.0,19.684,9.3129,66.0,280.255,54.9439,31.5563,29.5827,8.96867,29.9654,,3.1579,78.0176,10.6388,4.08619,2.60359,1.223,0.278381,0.106922,0.1714588403701782,0.222326,1.2865,0.287084,0.737397,0.3535,,4.07447,0.192453,0.224814,182.7899932861328,,,,17282,1.4124789216159064,-3.876380347769765e+16
Ryan Pepiot,TBR,9.8156,10.1965,13.928,4.00047,29.16,29.16,0.0,0.0,164.574,696.757,145.312,78.4175,73.1526,22.7295,60.6172,,8.5534,175.415,9.59285,3.31495,2.89381,1.243,0.251759,0.0869991,0.1647598817944526,0.231541,1.25129,0.285446,0.732372,0.363237,,4.09108,2.22609,2.07638,157.7100067138672,,,,26221,1.407754357052105,-3.8634143424392664e+16
Kodai Senga,NYM,10.5289,8.8918,13.8426,3.72799,39.92,25.92,0.0,0.6566,165.553,700.804,143.123,74.4049,68.5754,19.7375,66.3991,,6.3465,180.462,9.8105,3.60968,2.71783,1.073,0.257506,0.094747,0.1627593338489532,0.227882,1.26559,0.288379,0.742853,0.421525,,3.85449,2.64169,2.44037,140.2899932861328,,,,31838,1.4056530391830806,-3.857647525556374e+16
Grayson Rodriguez,BAL,10.6535,8.5902,15.3083,3.66421,27.54,27.54,0.0,0.0,162.413,677.85,145.175,71.7679,66.1238,20.3016,52.976,,5.8329,172.393,9.55304,2.93563,3.25417,1.125,0.254323,0.078153,0.1761699542403221,0.234516,1.22004,0.292891,0.744618,0.429429,,3.75487,2.49857,2.59834,101.54000091552734,,,,24492,1.3981701827845439,-3.837111716458928e+16
