Name,auction_value
Reed Trimble,-inf
Blake Hunt,-inf
Josh Crouch,-inf
Jacob Reimer,-inf
Duke Ellis,-inf
Justin Janas,-inf
Tyler McDonough,-inf
Creed Willems,-inf
Tavian Josenberger,-inf
Tristan Gray,-inf
Kendall Simmons,-inf
Tyler Miller,-inf
Jean Walters,-inf
Matt Coutney,-inf
Bladimir Restituyo,-inf
Luis Ravelo,-inf
Homer Bush Jr.,-inf
Tucker Mitchell,-inf
Luis Encarnacion,-inf
Peyton Williams,-inf
Daniel Susac,-inf
Jared Wegner,-inf
Aidan Longwell,-inf
Chris Newell,-inf
Alex Ramírez,-inf
Brayan Buelvas,-inf
Jace Bohrofen,-inf
Pierce Bennett,-inf
Luis Lara,-inf
Jackson Castillo,-inf
John Rhodes,-inf
Felix Stevens,-inf
Brett Squires,-inf
Dalton Shuffield,-inf
Sonny DiChiara,-inf
Chandler Redmond,-inf
Seth Stephenson,-inf
Matt Gorski,-inf
Brett Auerbach,-inf
Andy Garriola,-inf
Brock Rodden,-inf
Michael Arroyo,-inf
Tucker Barnhart,-inf
Alex De Jesus,-inf
Alex Binelas,-inf
Chris Meyers,-inf
Jake Snider,-inf
Eli Wilson,-inf
José Azocar,-inf
José Rodríguez,-inf
Allan Cerda,-inf
Matt Fraizer,-inf
Angel Genao,-inf
Carlos Pérez,-inf
Jacob Buchberger,-inf
Chris Brito,-inf
Elijah Dunham,-inf
Samuel Zavala,-inf
Bligh Madris,-inf
Jacob Burke,-inf
Lazaro Montes,-inf
Jakson Reetz,-inf
Davis Wendzel,-inf
Shawn Goosenberg,-inf
Tanner Schobel,-inf
Thayron Liranzo,-inf
Cole Gabrielson,-inf
Johnny Olmstead,-inf
Brice Matthews,-inf
Jeron Williams,-inf
Tayden Hall,-inf
David Mershon,-inf
Haydn McGeary,-inf
Jeremy Rivas,-inf
Zach Humphreys,-inf
Travis Shaw,-inf
Cayden Wallace,-inf
Bob Seymour,-inf
Cade Marlowe,-inf
Cole Fontenelle,-inf
Taylor Young,-inf
Rodolfo Castro,-inf
Leonardo Bernal,-inf
Micah Pries,-inf
Jared Oliva,-inf
Tyreque Reed,-inf
Nick Morabito,-inf
Dom Nuñez,-inf
Rece Hinds,-inf
Keaton Anthony,-inf
Clay Dungan,-inf
Andrew Navigato,-inf
Trent Farquhar,-inf
Max Stassi,-inf
Mike Antico,-inf
Adam Hall,-inf
Zach Morgan,-inf
Jake Rucker,-inf
José Devers,-inf
Justice Thompson,-inf
Damon Keith,-inf
Trei Cruz,-inf
Colin Barber,-inf
Chris Sharpe,-inf
Yohendrick Pinango,-inf
Brayden Taylor,-inf
Leandro Pineda,-inf
Eddinson Paulino,-inf
Nate Eaton,-inf
William Bergolla,-inf
Max Ferguson,-inf
Justin Dean,-inf
Julio Carreras,-inf
Jonah Advincula,-inf
Daniel Cope,-inf
Noah Miller,-inf
Eric Yang,-inf
Collin Price,-inf
Marcos Castañon,-inf
Mason McCoy,-inf
Andrés Alvarez,-inf
Andrew Cossetti,-inf
Andrew Pinckney,-inf
Keshawn Ogans,-inf
J.J. D'Orazio,-inf
Carson McCusker,-inf
Eddie Park,-inf
Josh Hatcher,-inf
Cam Eden,-inf
Victor Mesa,-inf
CJ Alexander,-inf
Chris Rotondo,-inf
Jimmy Glowenke,-inf
Ben Malgeri,-inf
Ryan Ignoffo,-inf
Dyan Jorge,-inf
Joe Hudson,-inf
Adrian Placencia,-inf
Erick Brito,-inf
Evan White,-inf
David Calabrese,-inf
Tyler Tolbert,-inf
Will Holland,-inf
Maick Collado,-inf
Dasan Brown,-inf
Andres Sosa,-inf
Cristofer Torin,-inf
Robert Moore,-inf
Denzel Clarke,-inf
Milan Tolentino,-inf
Devonte Brown,-inf
Drew Compton,-inf
Ruben Ibarra,-inf
Damiano Palmegiani,-inf
Frainyer Chavez,-inf
Joe Mack,-inf
Jadher Areinamo,-inf
Dayan Frias,-inf
Caleb Ricketts,-inf
Parker Chavers,-inf
Freddy Zamora,-inf
Wilfred Veras,-inf
Victor Bericoto,-inf
Jorel Ortega,-inf
Luis Verdugo,-inf
Victor Labrada,-inf
Erick Mejia,-inf
Christian Koss,-inf
Marcus Lee Sang,-inf
Jacob Gonzalez,-inf
Demetrio Crisantes,-inf
Matt Donlan,-inf
Matthew Wood,-inf
Joe Naranjo,-inf
Nick Gordon,-inf
Miguel Palma,-inf
