Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Miles Mikolas","STL",10.1143,11.1718,14.1382,4.28672,30.78,30.78,0,0,176.211,743.192,188.8,90.4345,83.9296,25.8442,33.3032,,6.7393,126.601,6.46618,1.70097,3.80147,1.32,0.170348,0.044811,0.12553687021136284,0.268507,1.26044,0.295905,0.708197,0.41725,,4.31794,1.81139,1.85391,642.9600219726562,,,,"9803"
"Ryan Feltner","COL",8.7707,12.655,12.3135,4.88011,30.78,30.78,0,0,177.345,771.736,189.116,102.85,96.1625,26.5032,61.8685,,7.7922,153.744,7.80231,3.13974,2.48502,1.345,0.199219,0.080168,0.11905094236135483,0.269367,1.41523,0.311621,0.692603,0.430161,,4.5538,1.78261,2.03749,684.8800048828125,,,,"21446"
"Clarke Schmidt","NYY",8.5743,7.9585,9.2405,3.91662,45.06,21.06,0,0.6643,138.467,585.942,128.215,65.1219,60.2582,18.7239,45.1383,,7.708,136.378,8.86423,2.93387,3.02135,1.217,0.232751,0.0770354,0.15571539103984833,0.240511,1.25194,0.289665,0.735568,0.419594,,4.09949,1.77884,1.64167,219.9199981689453,,,,"19899"
"Nick Martinez","CIN",8.8553,10.5353,10.1918,4.59372,42.92,25.92,0,0.6081,161.583,694.842,169.717,88.4979,82.4743,26.4817,44.8381,,6.4766,136.555,7.60593,2.49743,3.04551,1.475,0.196526,0.0645299,0.13199634850025177,0.263729,1.32783,0.298102,0.710259,0.425913,,4.55955,1.77716,1.5996,329.9599914550781,,,,"12730"
"Frankie Montas","NYM",9.6799,9.147,12.8685,4.04857,27.54,27.54,0,0,154.57,659.709,145.538,75.1906,69.5318,20.7467,54.7598,,6.3108,148.287,8.6342,3.18845,2.70796,1.208,0.224777,0.083006,0.1417708396911621,0.243115,1.29584,0.290479,0.730542,0.424514,,4.17796,1.76048,1.78418,310.3299865722656,,,,"14309"
"Bryan Woo","SEA",8.635,8.9937,12.3786,3.8441,25.92,25.92,0,0,143.534,596.567,134.34,66.0722,61.3066,20.1745,33.5217,,6.7973,135.181,8.47624,2.10191,4.03264,1.265,0.226598,0.056191,0.170406986027956,0.241512,1.16949,0.284779,0.729061,0.390672,,3.9528,1.75163,1.755,137.9600067138672,,,,"30279"
"Reid Detmers","LAA",7.1981,6.8925,7.9859,3.85437,38.82,17.82,0,0.6104,118.329,496.28,104.062,54.4369,50.6761,16.1585,40.8056,,5.6571,130.911,9.95701,3.10364,3.20817,1.229,0.263786,0.0822229,0.1815626323223114,0.231344,1.22428,0.290354,0.739746,0.382585,,3.907,1.73502,1.77745,359.4200134277344,,,,"27468"
"Matthew Boyd","CHC",8.3905,8.0112,10.9644,3.97246,24.3,24.3,0,0,132.735,560.535,122.421,62.9764,58.587,18.4649,44.0435,,6.1082,130.757,8.86591,2.98634,2.96882,1.252,0.233272,0.078574,0.15469792485237122,0.239862,1.25412,0.287839,0.735975,0.375978,,4.13822,1.72676,1.85035,312.6700134277344,,,,"15440"
"Kyle Gibson",,9.5818,10.5105,13.2923,4.25624,29.16,29.16,0,0,165.708,715.185,168.863,84.9219,78.3661,21.5789,56.6677,,6.4309,140.837,7.64915,3.07775,2.4853,1.172,0.196923,0.079235,0.11768815666437149,0.258957,1.36101,0.300781,0.719888,0.458,,4.3019,1.71415,1.79163,606.3800048828125,,,,"10123"
"Merrill Kelly","ARI",9.2363,8.8954,12.7835,4.21249,25.92,25.92,0,0,152.484,653.598,153.121,76.9704,71.371,19.5011,49.5813,,4.7739,140.962,8.31989,2.92641,2.84304,1.151,0.21567,0.075859,0.13981100916862488,0.255524,1.32933,0.304526,0.716826,0.421856,,4.04956,1.70329,1.92523,300.2900085449219,,,,"11156"
"Jon Gray","TEX",8.6372,8.9592,10.1353,4.21569,36.3,24.3,0,0.6344,144.703,614.858,142.316,72.8765,67.7802,20.4352,44.2043,,5.8497,131.76,8.19498,2.74935,2.98069,1.271,0.214293,0.0718935,0.14239907264709473,0.251974,1.28899,0.29539,0.71967,0.407798,,4.21899,1.69272,1.43771,501.9599914550781,,,,"14916"
"David Peterson","NYM",10.0468,8.5365,12.8055,3.67222,35.92,25.92,0,0.6566,153.875,659.085,145.3,69.0872,62.7846,16.4646,58.8881,,7.3258,142.207,8.31755,3.44431,2.41486,0.963,0.215764,0.0893483,0.12641555070877075,0.245078,1.32697,0.296718,0.745846,0.499751,,4.00007,1.67812,2.25082,373.1700134277344,,,,"20302"
"Edward Cabrera","MIA",7.7302,8.9884,9.6154,4.02132,37.68,22.68,0,0.5862,137.121,589.869,121.577,66.3896,61.2674,15.4642,64.1896,,6.8614,148.763,9.76417,4.21312,2.31756,1.015,0.252197,0.10882,0.14337708801031113,0.234334,1.35477,0.299254,0.72739,0.45272,,4.01727,1.66612,1.96002,400.5400085449219,,,,"21690"
